n,Block Size,Time
64,2,0.000509
64,16,0.000123
64,32,0.000041
64,64,0.000058
64,2,0.000507
64,16,0.000121
64,32,0.000033
64,64,0.000034
128,2,0.004054
128,16,0.000970
128,32,0.000271
128,64,0.000289
256,2,0.033015
256,16,0.007955
256,32,0.002087
256,64,0.002139
512,2,0.262949
512,16,0.067163
512,32,0.017118
512,64,0.016940
1024,2,2.102095
1024,16,0.537946
1024,32,0.164049
1024,64,0.163870
2048,2,16.862041
2048,16,4.429492
2048,32,1.378516
2048,64,1.359736
